Probeta,Fuerza máxima (N),Área (mm²),Esfuerzo máximo (MPa),Deformación al esfuerzo máximo (%),Fuerza rotura (N),Esfuerzo a la rotura (MPa)
Probeta 1,1360.9947509765625,25.212999999999997,53.979881449116036,4.844314098358154,1351.31396484375,53.59592134389998
Probeta 2,1508.0140380859375,25.212999999999997,59.810972041642714,5.205325126647949,1490.6549072265625,59.12247282063073
Probeta 3,1420.5675048828125,25.212999999999997,56.3426607259276,5.0261712074279785,1413.046142578125,56.04434785936323
Probeta 4,1553.3804931640625,25.212999999999997,61.6102999708112,5.06181001663208,1510.6534423828125,59.915656303605786
Probeta 5,1509.9320068359375,25.212999999999997,59.88704266989004,5.247328281402588,1503.1851806640625,59.61944951668039
Probeta 6,1879.494140625,25.212999999999997,74.54464524749137,6.119507789611816,1879.494140625,74.54464524749137
Probeta 7,1420.0936279296875,25.212999999999997,56.32386578073564,5.1731462478637695,1412.850830078125,56.03660135954171
